File.Number,Hospital.Name.x,Profile.Page,Discharges,X..of.Discharges,LOS,X..of.LOS,Avg..LOS,Charges,X..of.Charges,Avg.Charges,Discharges_0_24_female,Discharges_0_24_male,Discharges_25_54_female,Discharges_25_54_male,Discharges_55_female,Discharges_55_male,county.x,drop,Discharges_0_24_female_fw,Discharges_25_54_female_fw,Discharges_55_female_fw,Discharges_0_24_male_fw,Discharges_25_54_male_fw,Discharges_55_male_fw,Discharges_0_24_female_cw,Discharges_25_54_female_cw,Discharges_55_female_cw,Discharges_0_24_male_cw,Discharges_25_54_male_cw,Discharges_55_male_cw,WTP,prob,match,rpt_rec_num,Provider.CCN,Hospital.Name.y,Street.Address,City,State.Code,Zip.Code,County,Medicare.CBSA.Number,Rural.Versus.Urban,CCN.Facility.Type,Provider.Type,Type.of.Control,Fiscal.Year.Begin.Date,Fiscal.Year.End.Date,FTE...Employees.on.Payroll,Number.of.Interns.and.Residents..FTE.,Total.Days.Title.V,Total.Days.Title.XVIII,Total.Days.Title.XIX,Total.Days..V...XVIII...XIX...Unknown.,Number.of.Beds,Total.Bed.Days.Available,Total.Discharges.Title.V,Total.Discharges.Title.XVIII,Total.Discharges.Title.XIX,Total.Discharges..V...XVIII...XIX...Unknown.,Total.Days.Title.V...Total.for.all.Subproviders,Total.Days.Title.XVIII...Total.for.all.Subproviders,Total.Days.Title.XIX...Total.for.all.Subproviders,Total.Days..V...XVIII...XIX...Unknown....Total.for.all.Subproviders,Number.of.Beds...Total.for.all.Subproviders,Total.Bed.Days.Available...Total.for.all.Subproviders,Total.Discharges.Title.V...Total.for.all.Subproviders,Total.Discharges.Title.XVIII...Total.for.all.Subproviders,Total.Discharges.Title.XIX...Total.for.all.Subproviders,Total.Discharges..V...XVIII...XIX...Unknown....Total.for.all.Subproviders,Hospital.Total.Days.Title.V.For.Adults...Peds,Hospital.Total.Days.Title.XVIII.For.Adults...Peds,Hospital.Total.Days.Title.XIX.For.Adults...Peds,Hospital.Total.Days..V...XVIII...XIX...Unknown..For.Adults...Peds,Hospital.Number.of.Beds.For.Adults...Peds,Hospital.Total.Bed.Days.Available.For.Adults...Peds,Hospital.Total.Discharges.Title.V.For.Adults...Peds,Hospital.Total.Discharges.Title.XVIII.For.Adults...Peds,Hospital.Total.Discharges.Title.XIX.For.Adults...Peds,Hospital.Total.Discharges..V...XVIII...XIX...Unknown..For.Adults...Peds,Cost.of.Charity.Care,Total.Bad.Debt.Expense,Cost.of.Uncompensated.Care,Total.Unreimbursed.and.Uncompensated.Care,Total.Salaries.From.Worksheet.A,Overhead.Non.Salary.Costs,Depreciation.Cost,Total.Costs,Inpatient.Total.Charges,Outpatient.Total.Charges,Combined.Outpatient...Inpatient.Total.Charges,Wage.Related.Costs..Core.,Wage.Related.Costs..RHC.FQHC.,Total.Salaries..adjusted.,Contract.Labor,Wage.Related.Costs.for.Part...A.Teaching.Physicians,Wage.Related.Costs.for.Interns.and.Residents,Cash.on.Hand.and.in.Banks,Temporary.Investments,Notes.Receivable,Accounts.Receivable,Less..Allowances.for.Uncollectible.Notes.and.Accounts.Receivable,Inventory,Prepaid.Expenses,Other.Current.Assets,Total.Current.Assets,Land,Land.Improvements,Buildings,Leasehold.Improvements,Fixed.Equipment,Major.Movable.Equipment,Minor.Equipment.Depreciable,Health.Information.Technology.Designated.Assets,Total.Fixed.Assets,Investments,Other.Assets,Total.Other.Assets,Total.Assets,Accounts.Payable,Salaries..Wages..and.Fees.Payable,Payroll.Taxes.Payable,Notes.and.Loans.Payable..Short.Term.,Deferred.Income,Other.Current.Liabilities,Total.Current.Liabilities,Mortgage.Payable,Notes.Payable,Unsecured.Loans,Other.Long.Term.Liabilities,Total.Long.Term.Liabilities,Total.Liabilities,General.Fund.Balance,Total.Fund.Balances,Total.Liabilities.and.Fund.Balances,DRG.Amounts.Other.Than.Outlier.Payments,DRG.amounts.before.October.1,DRG.amounts.after.October.1,Outlier.payments.for.discharges,Disproportionate.Share.Adjustment,Allowable.DSH.Percentage,Managed.Care.Simulated.Payments,Total.IME.Payment,Inpatient.Revenue,Outpatient.Revenue,Gross.Revenue,Less.Contractual.Allowance.and.discounts.on.patients..accounts,Net.Patient.Revenue,Less.Total.Operating.Expense,Net.Income.from.Service.to.Patients,Total.Other.Income,Total.Income,Total.Other.Expenses,Net.Income,Cost.To.Charge.Ratio,Net.Revenue.from.Medicaid,Medicaid.Charges,Net.Revenue.from.Stand.Alone.SCHIP,Stand.Alone.SCHIP.Charges,Price,Wages,Beds,county.y,teach,short,long,nonprofit,profit,rural
100054,TWIN CITIES HOSPITAL,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9872,282,0.0438133798604497,741,0.0273218905863366,2.62765957446809,30248107,0.0766339506342909,107262.790780142,0,0,67,50,81,76,okaloosa,0,0,0.23758865248227,0.287234042553192,0,0.177304964539007,0.269503546099291,0,0.0715811965811966,0.140869565217391,0,0.0773993808049536,0.135472370766488,0.114773967687659,0.107702993517907,1,710138,100054,TWIN CITIES HOSPITAL,2190 HIGHWAY 85 NORTH,NICEVILLE,FL,32578-,OKALOOSA,18880,U,STH,2,4,06/01/2018,05/31/2019,182.85,,,5384,122,8503,65,23725,,1357,43,2282,,5384,122,8685,65,23725,,1357,43,2282,,4282,60,6373,57,20805,,1357,43,2282,2848480,6765731,3377710,6007458,13067668,30725179,2628965,42030757,229444705,416820439,646265144,3860939,,13163497,1852894,,,33236,,,10148736,-4216130,,2302765,308788,8533969,1137678,757985,12395035,3191406,15318474,14857521,3435998,,19538712,,3167316,3167316,31239997,1536828,1240626,1326247,66513,,194957,4365171,,100042,-72414846,370470,-71944334,-67579163,98819160,98819160,31239997,,3063546,7229941,115890,,,,,229444705,416820439,646265144,586046753,60218391,43778668,16439723,128926,16568649,-127,16568776,0.065036,1470416,52164704,,,12.553912886746,6.29831911848069,4.17438726989564,okaloosa,0,0,1,0,1,FALSE
100055,FLORIDA HOSPITAL NORTH PINELLAS,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9873,743,0.115437380270618,2346,0.0865008843664585,3.15746971736205,33911084,0.085914147857626,45640.7590847914,0,0,191,139,181,183,pinellas,0,0,0.257065948855989,0.243606998654105,0,0.187079407806191,0.246298788694482,0,0.0206486486486486,0.0345288057993132,0,0.0314764492753623,0.035616971584274,0.0288394575817821,0.0283805356537888,1,684276,100055,ADVENTHEALTH - NORTH PINELLAS,1395 S. PINELLAS AVENUE,TARPON SPRINGS,FL,34689,"",45300,U,STH,1,2,01/01/2018,12/31/2018,585.41,,,7308,939,20947,136,49640,,1849,111,5389,,13281,939,30319,168,61320,,1849,111,5389,,6647,807,18688,123,44895,,1849,111,5389,3336706,8379429,5192664,12654001,40780994,75158783,5063469,105776332,282881979,283987136,566869115,8554645,,40780994,3998397,,,-11104265,,,38419933,-24944204,4236433,2076249,2059613,11211251,10310232,542871,15514176,2848456,2580320,25084200,,,35827480,,3699817,3699817,50738548,3143189,3317487,47953,,,12092628,18754822,,311532,,8277205,8588737,27343559,23394989,23394989,50738548,,11587834,3703623,83473,149857,0.0392,,,,,,,,115939777,-115939777,940575,-114999202,,-114999202,0.186597,4550048,64370729,,,,6.42260300863391,4.91265488573605,"",0,1,0,1,0,FALSE
100057,FLORIDA HOSPITAL WATERMAN,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9875,2524,0.39214528641055,8650,0.318939748410002,3.42709984152139,108735268,0.275482137117486,43080.5340729002,220,139,682,425,555,503,lake,0,0.0871632329635499,0.270206022187005,0.219889064976228,0.0550713153724247,0.16838351822504,0.199286846275753,0.322108345534407,0.305966801256169,0.394456289978678,0.274161735700197,0.330739299610895,0.340555179417739,0.41111830257634,0.336144363810033,1,715949,100057,FLORIDA HOSPTIAL WATERMAN,1000 WATERMAN WAY,TAVARES,FL,32778-,LAKE,36740,U,STH,3,1,01/01/2018,12/31/2018,1371.3,,,30158,2751,65446,269,98185,,6522,579,15150,,48151,2751,107271,269,98185,,6522,579,15150,,27716,2134,55251,229,83585,,6522,579,15150,12359001,12435369,16730272,30655791,91714355,154449287,12335646,211990370,717767489,609497787,1327265276,18644819,,90033143,3504498,,,292496087,14108000,8709,8275592,-12124976,4133907,3172559,,328814431,12058106,8047244,146274073,,11028951,79054775,,18098321,110190672,28053269,50470222,78523491,517528594,14241810,9596749,,2653744,,19449314,45941617,,79178601,,178724,79357325,125298942,392229652,392229652,517528594,,44648312,13095826,278197,552901,0.0383,,,715003186,613724727,1328727913,1068545360,260182553,231983679,28198874,-4694130,23504744,,23504744,0.15972,9468891,146839124,,,11.3817320541553,6.45117914231377,5.59471137960184,lake,0,0,0,0,0,FALSE
100063,MORTON PLANT NORTH BAY HOSPITAL,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9880,1069,0.166086890322059,4438,0.163636370340299,4.15154349859682,49609684,0.12568674378991,46407.5622076707,0,0,255,230,283,259,pasco,0,0,0.238540692235734,0.264733395696913,0,0.215154349859682,0.242282507015903,0,0.08972554539057,0.14989406779661,0,0.105990783410138,0.126156843643449,0.122194775493448,0.11445513372219,1,718586,100063,MORTON PLANT NORTH BAY HOSPITAL,6600 MADISON STREET,NEW PORT RICHEY,FL,34652-1971,PASCO,45300,U,STH,2,2,01/01/2018,12/31/2018,935.76,,,12240,4049,53266,187,68255,,2614,560,12375,,16768,4094,60794,217,79205,,2984,565,12974,,11011,3719,48613,165,60225,,2614,560,12375,14902936,10948452,17379845,24115902,59206296,89200739,4706726,129717134,448506294,266549108,715055402,12280539,,59206296,154105,,,1101,,,66744478,-52751757,2404410,710500,,-98394111,4965131,1454812,118339588,820011,35658555,12771104,324312,,93148209,,3258140,3258140,-1987762,3978092,3877305,,,,,7855397,,,,,,7855397,-9843159,-9843159,-1987762,,13664563,4595504,34920,709860,0.1555,,,455090393,272055852,727146245,589123467,138022778,148407035,-10384257,1396508,-8987749,,-8987749,0.181409,13536270,123847505,171199,566956,10.9339355438052,5.69994824885984,5.23110861685459,pasco,0,0,1,1,0,FALSE
100067,ST ANTHONYS HOSPITAL,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9882,3637,0.565068306923602,13157,0.485120262408139,3.61754193016222,175879012,0.445591637295381,48358.2656035194,140,119,923,806,831,818,pinellas,0,0.0384932636788562,0.25378058839703,0.228485015122354,0.0327192741270278,0.221611218036844,0.224910640637888,0.0464344941956882,0.0997837837837838,0.15852727966425,0.0454892966360856,0.182518115942029,0.159205916699105,0.153129885826264,0.141075253953714,1,719383,100067,ST. ANTHONYS HOSPITAL,1200 7TH AVENUE NORTH,ST. PETERSBURG,FL,33705-,PINELLAS,45300,U,STH,2,2,01/01/2018,12/31/2018,1911.96,,,32425,4819,87153,308,112420,,6657,569,20441,,36270,5555,103425,358,130670,,7026,685,23030,,28949,4091,77469,280,102200,,6657,569,20441,27281800,28600997,33543258,55687541,126548591,240345251,10676821,324494963,1046880867,840960827,1887841694,28567610,,126548591,275951,,,4800,,,157401086,-117917306,7766424,1563658,,194994130,950012,1825969,171816625,28162,75910081,56154852,1098405,,101210263,16298409,8749393,25047802,321252195,7146201,8294277,,,,,15440478,,,,78098,78098,15518576,305733619,305733619,321252195,,41189985,14239945,849882,964481,0.0696,,,1064764629,848216257,1912980886,1517663367,395317519,366893842,28423677,2629915,31053592,,31053592,0.171887,20364248,227769802,7155,79339,11.3273755429037,5.88652332405289,5.73009978297357,pinellas,0,0,1,1,0,FALSE
100069,FLORIDA HOSPITAL CARROLLWOOD,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9884,1109,0.172301554132052,3448,0.127133439597421,3.10910730387737,98376110,0.249237083078739,88707.042380523,0,0,260,280,248,288,hillsborough,0,0,0.234445446348061,0.223624887285843,0,0.252479711451758,0.259693417493237,0,0.0150480379673573,0.036188530570553,0,0.0364109232769831,0.0386369734370808,0.0313947822952132,0.0308473871239356,1,713369,100069,ADVENTHEALTH CARROLLWOOD,7171 NORTH DALE MABRY HIGHWAY,TAMPA,FL,33614,"",45300,U,STH,2,1,01/01/2018,12/31/2018,559.25,,,4893,408,19364,103,37595,,1241,109,5157,,4893,408,19364,103,37595,,1241,109,5157,,4521,379,17651,95,34675,,1241,109,5157,5178063,10075960,7567051,17276517,37413577,92173715,13491168,124537411,407061891,379254806,786316697,8096684,,37413577,4444437,,,61877894,6065,,56051822,-46278383,4754276,1471386,763655,90301459,11638454,2837812,121850474,11093278,20293621,50141880,,,166031957,,5763347,5763347,262096763,6557641,3472592,42022,,,5840245,16311912,,3973981,,57858962,61832943,78144855,183951908,183951908,262096763,,8899927,3677745,665904,345886,0.11,12879567,114746,405671893,380644798,786316691,643781665,142535026,129587292,12947734,615295,13563029,,13563029,0.158381,4452074,89414386,,,11.9347598899524,6.51230155308921,4.63472898822964,"",0,0,1,0,0,FALSE
100070,VENICE REGIONAL BAYFRONT HEALTH,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9885,1029,0.159872226512067,3881,0.143098862841528,3.77162293488824,91322156,0.231365803973155,88748.4509232264,0,0,213,141,326,327,sarasota,0,0,0.206997084548105,0.316812439261419,0,0.137026239067055,0.317784256559767,0,0.0651774785801714,0.1581756428918,0,0.119897959183673,0.150068838916934,0.137673640903131,0.127722240127346,1,715950,100070,VENICE REGIONAL MEDICAL CENTER,540 THE RIALTO,VENICE,FL,34285,SARASOTA,35840,U,STH,2,4,01/01/2018,12/31/2018,788.6,,,18310,1534,34319,229,83585,,4241,268,8315,,18310,1534,34319,229,83585,,4241,268,8315,,16200,1534,30087,197,71905,,4241,268,8315,3381153,17994616,5390653,7411043,52505923,104171844,6928599,147993467,665308200,722687065,1387995265,12089994,,52505923,1981799,,,-146292,,,50134075,-27571768,8571441,1059588,59184,32106228,16211273,2445469,18765954,16172123,2443640,16372806,3499356,,52972704,,2327077,2327077,87406009,6663844,4539093,497494,37360,,2860909,37311291,,65800,,186883,252683,37563974,49842035,49842035,87406009,,30646797,9946297,397937,,,,,665309895,722685370,1387995265,1221281792,166713473,156677767,10035706,352256,10387962,,10387962,0.106624,2291896,40443857,,,12.0253098960149,6.30242137869619,5.43372200355424,sarasota,0,0,1,0,1,FALSE
100071,BAYFRONT HEALTH BROOKSVILLE,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9886,679,0.105493918174629,2059,0.0759187216157451,3.03240058910162,64326930,0.162973067308823,94737.7466863034,0,0,155,166,189,139,hernando,0,0,0.228276877761414,0.278350515463918,0,0.244477172312224,0.204712812960236,0,0.0898030127462341,0.164921465968586,0,0.14954954954955,0.133397312859885,0.140558846872908,0.130275516578024,1,710522,100071,BROOKSVILLE REGIONAL HOSPTAL,17240 CORTEZ BLVD,BROOKSVILLE,FL,34601,HERNANDO,45300,U,STH,2,4,10/01/2017,09/30/2018,690.26,,,10838,3613,38369,244,89060,,2275,1614,9534,,10838,3613,38369,244,89060,,2275,1614,9534,,8974,3157,29818,214,78110,,2275,1614,9534,7791397,63708859,12403222,21424034,42063873,71101530,6485144,108795412,884529497,711791916,1596321413,9288731,,42063873,973681,,,-18591,,,107442794,-86857764,5347781,1342069,62277,27318566,5330284,1083115,59856486,7610821,643781,23990122,4475321,,72884722,,5064929,5064929,105268217,3564791,2635315,382299,245870,,3856376,35249747,,4120938,,592319,4713257,39963004,65305213,65305213,105268217,,,16436360,46187,450356,0.1096,-3929,,884529497,711792910,1596322407,1491097595,105224812,113165403,-7940591,953204,-6987387,,-6987387,0.068154,10176185,281715767,,,12.0283486892066,5.62189364163997,5.4971682252932,hernando,0,0,1,0,1,FALSE
100072,FLORIDA HOSPITAL FISH MEMORIAL,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9887,1440,0.223727897159743,5364,0.197779515661417,3.725,56961929,0.144313746808023,39556.8951388889,0,33,354,289,358,380,volusia,0,0,0.245833333333333,0.248611111111111,0.0229166666666667,0.200694444444444,0.263888888888889,0,0.106980961015413,0.170801526717557,0.0374574347332577,0.172743574417215,0.16260162601626,0.160142395862558,0.147198481252287,1,683494,100072,ADVENTHEALTH FISH MEMORIAL,1055 SAXON BLVD,ORANGE CITY,FL,32673,VOLUSIA,19660,U,STH,5,1,01/01/2018,12/31/2018,784.61,,,14746,1131,42707,179,65335,,3164,173,9710,,14746,1131,42707,179,65335,,3164,173,9710,,11782,856,34909,158,57670,,3164,173,9710,5625282,11853361,10214891,19238744,60298824,91375310,9756641,125751118,399636416,354041425,753677841,10376711,,49977563,1114500,,,106605865,10537000,5215,15333847,-14780150,2930129,1428250,,133193876,20134565,8906021,86594613,,1192231,57099608,,,64266295,172136,8307828,8479964,205940135,5359955,4077226,,1589058,,10856406,21882645,,47345764,,121250,47467014,69349659,136590476,136590476,205940135,,18489299,6768171,139654,949050,0.1503,,,399554315,377651030,777205345,611897121,165308224,151674134,13634090,-1697225,11936865,,11936865,0.16685,5520007,82269453,,,11.2903035914102,6.04001585189603,5.18738580584076,volusia,0,0,0,0,0,FALSE
100073,HOLY CROSS HOSPITAL,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9888,4299,0.667920992978984,15857,0.584673709888718,3.6885322167946,188867948,0.47849926619976,43932.9955803675,304,310,1051,669,803,1162,broward,0,0.070714119562689,0.244475459409165,0.186787625029077,0.0721097929751105,0.155617585484997,0.270295417538963,0.0352586406866156,0.0493241974845129,0.0941604127579737,0.0392703318976438,0.0717657155116928,0.119008603031544,0.082102725294557,0.0783071023628411,1,685712,100073,HOLY CROSS HOSPITAL,4725 NORTH FEDERAL HIGHWAY,FORT LAUDERDALE,FL,33308,BROWARD,22744,U,STH,1,1,07/01/2018,06/30/2019,2493.55,69.63,,25148,2259,67517,319,113519,,6185,1615,15923,,55580,2566,114626,367,131039,,6644,1633,16687,,21279,2259,49103,268,94904,,6185,1615,15923,7820318,25266410,13667023,22970697,223122608,277908708,16484567,390559350,798674510,926546212,1725220722,46159031,,223122608,,,,20382993,,,94673373,-13579477,8211182,24736822,,348644410,7419505,2093899,357054344,4226708,45460144,221774228,,,221450496,3146482,72163898,75310380,645405286,237296897,11410094,-20547,3770093,9730449,18956611,281143597,11010778,149470357,,37376925,197858060,479001657,166403629,166403629,645405286,,20217362,41627538,1071390,394262,0.0255,30187016,7124656,798803189,929232105,1728035294,1252847826,475187468,501031316,-25843848,21825701,-4018147,,-4018147,0.226382,7163017,72738516,,,11.5478656797413,6.5276237080448,5.76519110278484,broward,0.0279240440336067,1,0,0,0,FALSE
100075,ST JOSEPHS HOSPITAL,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9890,13564,2.10739249796858,53016,1.95478724875199,3.90858153936892,560722919,1.42059840287399,41339.0533028605,3020,2966,4741,1026,849,962,hillsborough,0,0.2226481863757,0.34952816278384,0.0625921557062813,0.218667059864347,0.0756414037157181,0.0709230315541138,0.415634461877236,0.27439518462785,0.12388734860645,0.456377904292968,0.133420026007802,0.129058223772471,0.393912363106665,0.315243573152671,1,683495,100075,ST. JOSEPHS HOSPITAL,3001 W. MARTIN LUTHER KING JR. BLVD.,TAMPA,FL,33607-4227,HILLSBOROUGH,45300,U,STH,5,2,01/01/2018,12/31/2018,5742.9,,,53856,31282,272183,1062,387630,,11841,1787,51623,,53856,31282,272183,1062,387630,,11841,1787,51623,,47102,20741,208762,866,316090,,11841,1787,51623,57785400,90342587,78519116,161497895,376746321,723489685,50667969,947187867,2775649954,2236280131,5011930085,89881865,,376746321,969427,,,35068,,,457619522,-318107655,25942579,5550652,,1266127800,5736410,22657330,918236728,1312923,318578785,106173293,8810755,,587607663,5745236,67728552,73473788,1927209251,31033938,26404185,,,,,57438123,,,,19993116,19993116,77431239,1849778012,1849778012,1927209251,,72427265,21146557,2094540,6140782,0.2625,80978610,,2816035290,2357617542,5173652832,3902295979,1271356853,1100236006,171120847,11777045,182897892,,182897892,0.188987,139218419,1124682880,2125342,16460204,11.5151222312965,6.23731048968763,6.96790920180188,hillsborough,0,0,0,1,0,FALSE
100077,BAYFRONT HEALTH PORT CHARLOTTE,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9892,1799,0.279504504854429,6368,0.234798649465306,3.53974430239022,148166141,0.375380738208424,82360.2784880489,234,115,561,216,342,331,charlotte,0,0.130072262367982,0.311839911061701,0.190105614230128,0.0639244024458032,0.120066703724291,0.183991106170095,0.835714285714286,0.564954682779456,0.395833333333333,1,0.36,0.361353711790393,0.726357592664707,0.533763089771561,1,719116,100077,PEACE RIVER REGIONAL MEDICAL CENTER,2500 HARBOR BLVD,PORT CHARLOTTE,FL,33952,CHARLOTTE,39460,U,STH,2,4,01/01/2018,12/31/2018,750.33,,,20466,3700,49813,254,92710,,4015,1394,10620,,20466,3700,49813,254,92710,,4015,1394,10620,,17467,954,40361,225,82125,,4015,1394,10620,5045187,18904496,6702609,11442069,48282469,92273528,7539423,131634911,1006037668,662665201,1668702869,10237050,,48161500,1947950,,,-137187,,,66530257,-41402263,8393664,811489,50329,34246289,2118383,730160,41764776,6249290,8412741,18892936,3493453,,52602086,,1028019,1028019,87876394,6766039,4406938,433568,,,2915825,10080798,,,,,,10080798,77795596,77795596,87876394,,26880254,2523567,607895,447673,0.0609,,,1006037668,662665201,1668702869,1510449484,158253385,140555997,17697388,561170,18258558,,18258558,0.078885,7451538,154796749,,,11.9648181416222,6.02819638040189,5.53733426701854,charlotte,0,0,1,0,1,FALSE
100079,UNIVERSITY OF MIAMI HOSPITAL AND CLINICS-SYLVESTER COMPREHENSIVE,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9894,505,0.07846013060116,6628,0.244385277741213,13.1247524752475,208232193,0.527558818766151,412340.976237624,0,0,106,102,93,169,miami-dade,0,0,0.20990099009901,0.184158415841584,0,0.201980198019802,0.334653465346535,0,0.00458616363085709,0.00901512214036448,0,0.00909739564752051,0.0138026788631166,0.00912978568034606,0.00907945898581891,1,656430,100079,UNIVERSITY OF MIAMI HOSP & CLINICS,1475 N.W. 12TH AVENUE,MIAMI,FL,33136-,MIAMI-DADE,33124,U,STH,1,2,06/01/2018,05/31/2019,4238.71,187.83,,29066,3291,110826,524,191260,,4792,379,18851,,29066,3291,110826,524,191260,,4792,379,18851,,24377,2994,93198,453,165345,,4792,379,18851,,,,,280144010,1230406098,34415792,1247330918,2276300993,5263559582,7539860575,,,,,,,20600,,,1006221620,-687281887,28442102,,48799479,396201914,29740828,,456733104,,,274753525,,,331983087,6999759,59334023,66333782,794518783,75431286,,30090764,12769860,,6703145,124995055,,364190683,,31680530,395871213,520866268,273652515,273652515,794518783,,,,,,,,,2284689965,5287785379,7572475344,5934309752,1638165592,1510550108,127615484,44200334,171815818,,171815818,,,,,,12.9034646030014,,6.26149168432104,miami-dade,0.0443130103262549,1,0,1,0,FALSE
100080,JFK MEDICAL CENTER,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9895,4756,0.738923527008152,18796,0.693039481053688,3.95206055508831,514607197,1.30376365472883,108201.681455004,204,202,1253,1035,893,1169,palm beach,0,0.0428931875525652,0.263456686291001,0.187762825904121,0.0424726661059714,0.217619848612279,0.245794785534062,0.0297202797202797,0.0789440524193548,0.129551719135355,0.031024420211949,0.155079412646089,0.147414880201765,0.126221027115775,0.117697989877973,1,699217,100080,JFK MEDICAL CENTER,5301 SOUTH CONGRESS AVENUE,ATLANTIS,FL,33462-,PALM BEACH,48424,U,STH,5,4,07/01/2018,06/30/2019,2204.97,63.07,,39808,13493,144489,623,227395,,8835,1503,32869,,45180,15961,174178,715,260975,,9572,1995,38714,,35562,11858,127879,551,201115,,8835,1503,32869,55281912,80179265,65139809,102577551,156662449,371979823,23018074,485192888,3620352030,2144790755,5765142785,46392843,,157117975,8790971,,128996,265515,,,175874466,-110650318,17938403,1490857,,84039925,13556738,12129884,161639669,31128379,107923283,139741684,24609253,,231401172,7074325,93204399,100278724,415719821,18377837,10141590,15338070,691808,,2572181,47121486,,1298963,-12406015,6045659,-5061393,42060093,373659728,373659728,415719821,,21068410,68415486,2155185,4724750,0.2112,74611005,4436164,3620352030,2144790755,5765142785,5160409267,604733518,528414541,76318977,2929059,79248036,32,79248004,0.08416,38760443,823187238,,,11.9111391872181,5.56819877786297,6.43454651878745,palm beach,0.0286035637673075,0,0,0,1,FALSE
100081,HEALTHMARK REGIONAL MEDICAL CENTER,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9896,49,0.00761296316724126,200,0.00737432944300584,4.08163265306122,575645,0.00145840367838147,11747.8571428571,0,0,0,0,0,0,walton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,684035,100081,HEALTHMARK REGIONAL MED CTR,4413 HIGHWAY 331 SOUTH,DEFUNIAK SPRINGS,FL,32433,WALTON,18880,R,STH,1,4,10/01/2017,09/30/2018,110.3,,,1283,30,2441,50,18250,,293,9,587,,6298,30,14664,50,18250,,293,9,587,,1209,30,2314,44,16060,,293,9,587,,58926,20625,20625,4753388,5553617,511940,8861096,6476457,22771498,29247955,549146,13035,4653113,,,,3120538,,,1508368,,292756,,1127526,6049188,,49700,8078566,333936,,6690071,,,5420453,,615463,615463,12085104,218135,,,41741,,4758915,5018791,35308,,,489378,524686,5543477,6541627,6541627,12085104,,,1562245,,35151,0.09,,,6931857,26179750,33111607,22166098,10945509,10307005,638504,162221,800725,625583,175142,0.302965,827296,1140866,,,10.9403696237033,,3.91202300542815,walton,0,1,0,0,1,TRUE
100084,LEESBURG REGIONAL MEDICAL CENTER,http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9899,2003,0.311199290285393,7940,0.292760878887332,3.96405391912132,55369410,0.140279080359965,27643.2401397903,225,188,544,309,326,411,lake,0,0.112331502745881,0.271592611083375,0.162755866200699,0.0938592111832252,0.154268597104343,0.205192211682476,0.329428989751098,0.244055630327501,0.231698649609097,0.370808678500986,0.240466926070039,0.278266756939743,0.316608608505005,0.269997750464695,1,683496,100084,LEESBURG REGIONAL MEDICAL CENTER,600 E DIXIE AVENUE,LEESBURG,FL,34748,LAKE,36740,U,STH,1,2,07/01/2018,06/30/2019,1272.9,,,28932,1637,67813,308,112420,,5619,283,13986,,30454,1650,70313,329,120085,,5761,285,14303,,23967,1289,55837,262,95630,,5619,283,13986,6215732,16907502,12335075,16841768,83198693,130388052,15046200,192026395,458634235,382311130,840945365,15575473,,83198693,2255136,,,12644626,,,24041299,,6907705,6210230,3227615,53031475,8735203,6668726,155480384,34324869,868602,167746760,,,113416227,149689154,43280397,192969551,359417253,11033772,6422536,,3505000,,4292929,26744393,,33582202,,13285746,46867948,73612341,285804912,285804912,359417253,,13075137,39225410,272150,600149,0.0459,,,458634237,388255620,846889857,635645169,211244688,213586745,-2342057,18854726,16512669,936009,15576660,0.228346,7946910,73227435,9792,182249,10.9888566207446,6.10709902878946,5.73009978297357,lake,0,1,0,1,0,FALSE
