age_group,SEX,edu_group,UNINSURD,income,premium,exp_pos,exp_mean,exp_sd,count,id
30,1,16,2,34165.9648763251,576.665084745763,0.833922261484099,886.872881355932,1778.52778728786,283,1
30,2,16,2,26565.1116369048,823.85027027027,0.934523809523809,2207.20063694268,4827.58115712473,336,2
54,1,12,2,28902.6185585586,1210.52142857143,0.86036036036036,4227.19895287958,10932.8611525649,222,3
48,2,12,2,23170.3052538631,849.568,0.91832229580574,2121.73557692308,4134.30147212828,453,4
24,1,12,2,23295.2810204082,495.691034482759,0.622448979591837,714.344262295082,1099.23721863915,98,5
36,1,12,2,27675.2394813278,639.11381443299,0.782157676348548,1343.26790450928,3253.94144794483,482,6
36,2,12,2,18939.0488581952,434.185714285714,0.893186003683241,2023.41855670103,3628.67150462782,543,7
30,2,16,1,15192.9796428571,0,0.678571428571429,563.263157894737,862.212131806273,28,8
60,1,16,2,41402.1868487395,1172.42,0.911764705882353,3162.93548387097,6832.65414751267,238,9
54,2,12,2,21938.00325,1013.3376,0.932142857142857,2633.88505747126,4682.10029324108,280,10
54,2,8,2,13044.4334042553,266.441860465116,0.904255319148936,2335.38823529412,3284.72566475757,94,11
60,2,12,2,20031.0949679487,1302.96111111111,0.942307692307692,4300.68707482993,12069.4906488594,312,12
48,1,12,2,32200.0595783133,421.657627118644,0.828313253012048,2669.31636363636,8536.96568504161,332,13
42,1,16,2,45468.915840708,855.021818181818,0.820058997050148,1562.58992805755,4551.51002961056,339,14
24,1,16,2,28205.1835042735,799.145,0.777777777777778,777.802197802198,1546.63065489527,117,15
24,2,16,2,23868.1331782946,363.744,0.914728682170543,1724.76271186441,2461.85142503352,129,16
36,2,12,1,12227.9098979592,0,0.663265306122449,817.138461538462,1956.24189995865,98,17
36,1,8,1,14790.5265079365,0,0.428571428571429,354.62962962963,559.53759399018,63,18
48,1,16,2,46455.2453033708,1703.47525423729,0.885393258426966,2157.8807106599,5826.3688095432,445,19
48,2,8,2,11375.1641666667,46.3448275862069,0.885416666666667,2857.8,4746.90947780513,96,20
54,1,8,1,13413.4271428571,0,0.476190476190476,403.5,466.391645151011,21,21
48,2,12,1,12180.7810344828,0,0.655172413793103,1679.31578947368,4463.98066876362,58,22
42,2,12,2,21433.3509066667,1129.19692307692,0.888,1652.20720720721,2588.97955935212,375,23
60,1,12,2,28809.2610047847,1291.23818181818,0.923444976076555,4068.11398963731,10014.5245928238,209,24
60,2,8,2,10478.4496396396,322.763076923077,0.945945945945946,5179.08571428571,10301.3252602557,111,25
24,1,12,1,16064.212037037,0,0.407407407407407,486.5,620.137062422878,54,26
24,2,8,2,6973.017,0,0.766666666666667,1368.82608695652,1911.08535683436,30,27
54,1,8,2,18181.5920588235,28.9565217391304,0.779411764705882,6691.66037735849,19178.3524628715,68,28
42,2,8,2,10014.8125333333,71.2185365853659,0.826666666666667,3045.38709677419,5855.94368745555,75,29
48,1,8,2,17545.368630137,260.234594594595,0.821917808219178,3227.83333333333,7746.65648853829,73,30
24,1,8,2,13013.2922222222,0,0.611111111111111,421.363636363636,445.999612718951,18,31
30,2,12,2,16846.6101941748,146.853461538462,0.899676375404531,2794.55395683453,11196.0557286818,309,32
36,2,8,2,10547.8674193548,11.25,0.766129032258065,2232.77894736842,3245.77576269214,124,33
24,1,16,1,15381.8866666667,0,0.444444444444444,464.5,518.612434427538,18,34
36,2,16,2,29964.2408362989,1356.35744680851,0.941281138790036,2586.09451795841,8032.87840728347,562,35
42,2,16,2,33916.4841333333,994.520816326531,0.928,2080.84770114943,4017.41205675977,375,36
42,1,12,2,29067.9624922118,846.957857142857,0.766355140186916,2196.30894308943,6334.71064188488,321,37
30,1,12,2,23025.0594136808,889.818947368421,0.742671009771987,1215.07894736842,3300.96660291552,307,38
36,2,16,1,18439.7144186047,0,0.86046511627907,1310.86486486486,2711.84098151219,43,39
48,2,8,1,5799.66934782609,1.512,0.630434782608696,448.620689655172,499.869798318458,46,40
60,1,8,2,16248.0065625,251.358,0.885416666666667,3920.48235294118,7027.57853306353,96,41
66,2,12,2,18461.1511904762,1082.04,0.976190476190476,4343.36585365854,7576.95271780185,42,42
42,2,12,1,12439.0731818182,0,0.712121212121212,1411.55319148936,4434.50909889653,66,43
36,1,12,1,16842.8672173913,0,0.452173913043478,440.75,749.27763578676,115,44
42,1,8,2,14648.2289230769,60.9230769230769,0.676923076923077,1689.84090909091,3485.27920167615,65,45
30,1,16,1,21432.0988571429,0,0.714285714285714,543.84,1134.6538267977,35,46
60,2,16,2,30468.0050943396,1380.87529411765,0.981132075471698,2934.82692307692,3847.56174515164,159,47
54,2,16,2,40989.3386010363,1201.13828571429,0.979274611398964,3236.67195767196,5649.00410054605,193,48
54,1,16,2,47189.5349275362,1247.199,0.927536231884058,1792.27083333333,3619.44335623419,207,49
42,2,8,1,5318.2265,0,0.6,973,1583.71138125936,40,50
48,2,16,2,35668.7386222222,1156.764375,0.962222222222222,2252.21478060046,3785.77435906368,450,51
36,1,16,1,24939.1165909091,0,0.545454545454545,463.875,699.562988586446,44,52
36,1,16,2,41659.4763288288,1181.88358208955,0.851351351351351,1136.25132275132,2296.15750132408,444,53
36,2,8,1,5359.19863636364,0,0.545454545454545,611.888888888889,953.983311557471,66,54
30,1,8,1,11844.3352380952,0,0.317460317460317,2766.85,10864.8779743432,63,55
66,1,16,2,40270.4093548387,2271,0.903225806451613,4375.17857142857,9572.72493831871,31,56
24,2,12,2,13370.35152,266.573114754098,0.896,1988.67857142857,3148.58983225649,125,57
30,1,12,1,19256.7996629214,0,0.393258426966292,426.257142857143,573.368290576533,89,58
42,1,12,1,26848.8524590164,0,0.475409836065574,1331.89655172414,2389.73619800578,61,59
30,2,12,1,11229.3184848485,0,0.636363636363636,445.547619047619,522.255904116398,66,60
60,2,12,1,12158.0095121951,0,0.780487804878049,2152.0625,5141.35289674527,41,61
48,1,12,1,18839.2484,0,0.453333333333333,1954.23529411765,5367.60237688042,75,62
48,2,16,1,20726.3290322581,0,0.741935483870968,1953.30434782609,4227.77111312571,31,63
48,1,16,1,26893.3721621622,0,0.702702702702703,1094.03846153846,2575.35155628538,37,64
36,1,8,2,17602.0373255814,247.90243902439,0.674418604651163,3272.08620689655,9269.88971202677,86,65
42,1,16,1,22983.4882608696,0,0.434782608695652,471.8,568.595110777432,23,66
24,2,16,1,11584.2185714286,0,0.928571428571429,795.923076923077,1166.88670269357,14,67
30,2,8,2,8827.62679487179,0,0.884615384615385,1851.5652173913,3599.04858946925,78,68
54,2,12,1,9715.576,0,0.666666666666667,2125.5,4952.92181178789,30,69
30,2,8,1,8025.03710526316,0,0.5,450.947368421053,555.044089708617,38,70
24,1,8,1,9817.20724137931,0,0.310344827586207,434.333333333333,592.601679039133,29,71
42,2,16,1,24551.9873913044,0,0.869565217391304,1273.7,1354.93173648207,23,72
66,2,16,2,23080.5366666667,1070.88,1,1918.125,3496.17536761058,24,73
54,2,8,1,6215.63916666667,0,0.916666666666667,1136.0303030303,1264.46605541748,36,74
48,1,8,1,13192.2020689655,0,0.586206896551724,449.882352941177,514.15195739598,29,75
60,1,8,1,14150.1316666667,0,0.766666666666667,4523.47826086957,15339.7990056453,30,76
60,2,8,1,7464.88258064516,0,0.774193548387097,1174,1373.55850131028,31,77
24,2,8,1,4944.139,0,0.4,1236.75,1684.09939900063,20,78
54,1,16,1,35108.51,0,0.8,4324.1875,10127.3031896865,20,79
66,1,12,1,6731.75,0,0.5,300,,2,80
42,1,8,1,17962.7156521739,0,0.434782608695652,2007.45,4720.89745565842,46,81
24,2,12,1,10069.2227777778,0,0.722222222222222,606.384615384615,910.381471184977,18,82
30,1,8,2,15260.3012068966,0,0.689655172413793,2376.5,9281.00001243235,58,83
66,2,12,1,17463.375,0,1,3594,5143.49343021518,4,84
66,1,12,2,27289.2565384615,481.29,0.884615384615385,2424.08695652174,2337.43781469142,26,85
66,1,8,2,18292.0190909091,0,0.636363636363636,13968.7142857143,26976.3403418272,11,86
60,2,16,1,13449,0,0.545454545454545,909.5,1754.30507609139,11,87
60,1,12,1,15984.2745,0,0.65,1332.53846153846,2323.10441060321,20,88
66,2,8,1,6782.375,0,0.875,1006,890.34038434747,8,89
60,1,16,1,16202.7572222222,0,0.777777777777778,2421.92857142857,5361.49120278887,18,90
54,2,16,1,28781.9406666667,0,0.733333333333333,1060,738.825013112036,15,91
66,2,8,2,13062.2072727273,508.68,0.909090909090909,6897.7,9588.74263626073,11,92
54,1,12,1,14385.4823076923,0,0.653846153846154,1233.35294117647,2548.01876320546,26,93
66,1,16,1,7685.66666666667,0,0.333333333333333,3138,,3,94
66,1,8,1,12570,0,0,,,1,95
