BK,Ownership,Mall,Playland,DriveThru,Lon,Lat,Price,Opening,Address,,
2,0,1,1,0,-122.16995,37.44308,2.99,770610,"300 Stanford Shopping Center, Palo Alto, CA 94304",,
2,8,0,0,1,-122.13797,37.4208,3.69,741202,"3128 El Camino Real, Palo Alto, CA 94306",,
2,0,0,1,1,-121.82117,37.30045,3.19,790705,"1033 E Capitol Expy, San Jose, CA 95121",,
2,9,1,0,0,-121.86042,37.25115,3.29,841109,"925 Blossom Hill Rd, San Jose, CA 95123",,
2,2,0,0,0,-121.97723,37.30605,3.59,740109,"1072 Saratoga Ave, San Jose, CA 95129",,
2,0,0,0,1,-121.85983,37.38682,3.09,780410,"1142 N Capitol Ave, San Jose, CA 95132",,
2,1,0,1,1,-122.03141,37.30371,2.99,740109,"1146 S De Anza Blvd, San Jose, CA 95129",,
2,1,0,1,1,-121.86373,37.34839,2.99,951003,"1299 E Santa Clara St, San Jose, CA 95116",,
2,1,0,0,1,-121.88642,37.2458,2.99,740117,"1365 Blossom Hill Rd, San Jose, CA 95118",,
2,2,0,0,1,-121.91233,37.323,3.29,960105,"1398 W San Carlos St, San Jose, CA 95126",,
2,2,0,0,0,-121.94901,37.29864,3.59,740109,"1435 S Winchester Blvd, San Jose, CA 95128",,
2,1,0,0,1,-121.83063,37.26699,2.99,900420,"163 Branham Ln, San Jose, CA 95136",,
2,0,0,0,1,-121.89489,37.38335,3.39,971110,"1702 Old Oakland Rd, San Jose, CA 95131",,
2,2,0,1,0,-121.92001,37.26191,3.29,861230,"1869 Camden Ave, San Jose, CA 95124",,
2,0,0,0,1,-121.8208,37.3256,3.19,760217,"1992 Tully Rd, San Jose, CA 95122",,
2,1,0,0,1,-121.91812,37.37422,2.99,801010,"2077 N First St, San Jose, CA 95131",,
2,0,0,1,1,-121.8478,37.36635,3.19,740304,"2353 McKee Rd, San Jose, CA 95116",,
2,1,0,0,1,-121.88254,37.28523,2.99,740128,"2434 Almaden Rd, San Jose, CA 95125",,
2,1,0,1,1,-121.82658,37.35072,2.99,760920,"2680 Story Rd, San Jose, CA 95122",,
