"","Hospital.Name","Profile.Page","File.Number","Discharges","X..of.Discharges","LOS","X..of.LOS","Avg..LOS","Charges","X..of.Charges","Avg.Charges","Discharges_0_24_female","Discharges_0_24_male","Discharges_25_54_female","Discharges_25_54_male","Discharges_55_female","Discharges_55_male","county","drop","Discharges_0_24_female_fw","Discharges_25_54_female_fw","Discharges_55_female_fw","Discharges_0_24_male_fw","Discharges_25_54_male_fw","Discharges_55_male_fw","Discharges_0_24_female_cw","Discharges_25_54_female_cw","Discharges_55_female_cw","Discharges_0_24_male_cw","Discharges_25_54_male_cw","Discharges_55_male_cw"
"106","JFK MEDICAL CENTER NORTH CAMPUS","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10015",100234,2057,"0.3195890864288832715233228600",6876,"0.2535294462505406305272903700",3.34273213417598,84974348,"0.2152835544324495152812829000",41309.8434613515,469,480,383,363,196,166,"Palm Beach",0,0.228001944579485,0.186193485658726,0.0952843947496354,0.233349538162372,0.176470588235294,0.0807000486144871,0.0683275058275058,0.0241305443548387,0.0284346438415784,0.0737213945630471,0.0543901708121067,0.0209331651954603
"108","JUPITER MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10031",100253,4791,"0.7443613578418958453418764200",14416,"0.5315416662518606354975884100",3.00897516176164,138424230,"0.3506994870260718113033926300",28892.5547902317,669,692,1732,380,646,672,"Palm Beach",0,0.139636819035692,0.361511166771029,0.134836151116677,0.144437486954707,0.0793153830098101,0.140262993112085,0.097465034965035,0.109122983870968,0.0937182649064268,0.106281677161726,0.0569373688942164,0.0847414880201765
"109","KENDALL REGIONAL MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9993",100209,4964,"0.7712397788201150023538039200",21259,"0.783854348144305303138404000",4.28263497179694,651234906,"1.6499116337340080965840636200",131191.560435133,464,556,1412,1090,621,821,"Miami-Dade",0,0.0934730056406124,0.284448025785657,0.125100725221595,0.112006446414182,0.219580983078163,0.16539081385979,0.0587490503925044,0.0610911608185869,0.0601977510663048,0.0721609344581441,0.0972172672136996,0.0670532505717086
"110","KINDRED HOSP-BAY AREA-ST PETERSBURG","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10156",23960011,182,"0.0282767203354675524634150500",7112,"0.2622311549932875166245039400",39.0769230769231,55536405,"0.1407021642437322546177702500",305145.082417582,0,0,0,0,76,71,"Pinellas",0,0,0,0.417582417582418,0,0,0.39010989010989,0,0,0.0144982830980542,0,0,0.0138186064616582
"111","KINDRED HOSP-SO.FLA-FT LAUDERDALE","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9925",100120,223,"0.0346467507407102428535250300",6677,"0.2461919884547498240300636700",29.9417040358744,48671498,"0.1233098380347897193411113900",218257.838565022,0,0,0,0,80,99,"Broward",0,0,0,0.358744394618834,0,0,0.443946188340807,0,0,0.00938086303939963,0,0,0.0101392871773863
"112","KINDRED HOSP-SOUTH FLORIDA-HOLLYWOOD","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9860",100042,274,"0.0425704470984511504119545300",10306,"0.3799991961980907123639113600",37.6131386861314,68217014,"0.1728286429063059199728898100",248967.204379562,0,0,0,0,111,126,"Broward",0,0,0,0.405109489051095,0,0,0.45985401459854,0,0,0.013015947467167,0,0,0.0129045473166735
"113","KINDRED HOSPITAL MELBOURNE","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=256909",23960090,166,"0.0257908548114704049941038400",4974,"0.1833995732475551332522894500",29.9638554216867,29812315,"0.0755298662492806790487279700",179592.259036145,0,0,0,0,56,83,"Brevard",0,0,0,0.337349397590361,0,0,0.5,0,0,0.0175383651738177,0,0,0.0243616084531846
"114","KINDRED HOSPITAL SOUTH FLORIDA CORAL GABLES","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9952",100152,200,"0.0310733190499643433663901700",9313,"0.3433856505135667382345339100",46.565,64752595,"0.1640514948149394252599057600",323762.975,0,0,0,0,84,89,"Miami-Dade",0,0,0,0.42,0,0,0.445,0,0,0.0081426909654905,0,0,0.00726886638353479
"115","KINDRED HOSPITAL THE PALM BEACHES","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=218831",23960074,216,"0.0335591845739614908357013800",7316,"0.2697529710251534690136207600",33.8703703703704,51296138,"0.1299593957143094762421924800",237482.12037037,0,0,0,0,68,102,"Palm Beach",0,0,0,0.314814814814815,0,0,0.472222222222222,0,0,0.00986508051646598,0,0,0.0128625472887768
"116","KINDRED HOSPITAL-BAY AREA-TAMPA","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9922",100115,228,"0.0354235837169593514376847900",10809,"0.3985456347472503890880572400",47.4078947368421,68753795,"0.1741885841633050873364593700",301551.73245614,0,0,0,30,88,89,"Hillsborough",0,0,0,0.385964912280702,0,0.131578947368421,0.390350877192982,0,0,0.0128410914927769,0,0.00390117035110533,0.0119398980413201
"117","KINDRED HOSPITAL-CENTRAL TAMPA","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9944",100143,263,"0.0408614145507031115268030700",11888,"0.4383301420922668725579447200",45.2015209125475,84158237,"0.2132159271893264399931297900",319993.296577947,0,0,0,0,100,111,"Hillsborough",0,0,0,0.380228136882129,0,0,0.422053231939163,0,0,0.0145921494236101,0,0,0.0148913335122082
"118","KINDRED HOSPITAL-NORTH FLORIDA","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9839",100016,242,"0.0375987160504568554733321000",8515,"0.3139620760359734538888710700",35.1859504132231,56604265,"0.1434076006706906060885961400",233901.921487603,0,0,0,0,77,111,"Clay",0,0,0,0.318181818181818,0,0,0.458677685950413,0,0,0.0983397190293742,0,0,0.123470522803115
"119","LAKE CITY MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9955",100156,730,"0.1134176145323698532873241100",2086,"0.0769142560905508660965572600",2.85753424657534,40172976,"0.1017787281569902483818600300",55031.4739726027,0,0,183,140,203,173,"Columbia",0,0,0.250684931506849,0.278082191780822,0,0.191780821917808,0.236986301369863,0,0.497282608695652,0.712280701754386,NA,0.588235294117647,0.723849372384937
"120","LAKESIDE MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9934",100130,207,"0.0321608852167130953842138200",649,"0.0239296990425539367673373300",3.13526570048309,5113016,"0.0129538888412534249845076100",24700.5603864734,0,0,64,46,0,47,"Palm Beach",0,0,0.309178743961353,0,0,0.222222222222222,0.227053140096618,0,0.00403225806451613,0,0,0.00689241833982619,0.00592686002522068
"121","LAKEWOOD RANCH MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=165492",23960046,1961,"0.3046738932849003867074555800",5746,"0.2118644848975576589601236800",2.93013768485467,96815384,"0.2452829645867068245415813300",49370.4150943396,302,227,681,181,280,290,"Manatee",0,0.154003059663437,0.347271800101989,0.14278429372769,0.115757266700663,0.0922998470168282,0.147883732789393,0.272809394760614,0.311243144424132,0.18641810918775,0.283395755305868,0.150082918739635,0.194761584956347
"122","LANDMARK HOSPITAL OF SOUTHWEST FLORIDA","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=347498",23960116,209,"0.0324716184072127388178777200",5362,"0.1977057723669864544629626100",25.6555023923445,29329934,"0.0743077480604988194970559700",140334.612440191,0,0,0,42,68,74,"Collier",0,0,0,0.325358851674641,0,0.200956937799043,0.354066985645933,0,0,0.0436456996148909,0,0.0343980343980344,0.0385416666666667
"123","LARGO MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10027",100248,2132,"0.3312415810726199002857191700",8416,"0.3103117829616855652294467300",3.94746716697936,280616709,"0.7109458791805774818875787900",131621.345684803,47,31,518,450,569,517,"Pinellas",0,0.0220450281425891,0.24296435272045,0.266885553470919,0.0145403377110694,0.211069418386492,0.24249530956848,0.0155887230514096,0.056,0.108546356352537,0.0118501529051988,0.101902173913043,0.100622810432075
"124","LARGO MEDICAL CENTER - INDIAN ROCKS","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9838",100015,684,"0.1062707511508780543130543700",3874,"0.1428407613110230370364634800",5.66374269005848,21143999,"0.0535685811868325028943785500",30912.2792397661,62,83,218,163,91,67,"Pinellas",0,0.0906432748538012,0.318713450292398,0.133040935672515,0.121345029239766,0.238304093567251,0.097953216374269,0.0205638474295191,0.0235675675675676,0.0173597863410912,0.0317278287461774,0.036911231884058,0.0130400934215648
"125","LARKIN COMMUNITY HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9976",100181,571,"0.0887143258876482003110439200",1956,"0.0721209419525970729074141900",3.42556917688266,14484542,"0.0366967650765158111830570800",25366.9737302977,86,114,93,101,94,83,"Miami-Dade",0,0.15061295971979,0.162872154115587,0.164623467600701,0.199649737302977,0.176882661996497,0.145359019264448,0.0108888326158521,0.00402370960065764,0.0091120589375727,0.0147955872809864,0.00900820549411345,0.00677883044756615
"126","LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9868",100050,338,"0.0525139091944397402891993800",1384,"0.0510303597456003828751846800",4.09467455621302,10216592,"0.0258838613265514936134212200",30226.6035502959,0,0,54,61,98,116,"Miami-Dade",0,0,0.159763313609467,0.289940828402367,0,0.180473372781065,0.343195266272189,0,0.00233634751005927,0.00949980612640558,0,0.0054405993578309,0.00947402809539366
"127","LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10026",100246,2395,"0.3721029956233230118125222400",12453,"0.4591626227687583583415280600",5.19958246346555,339435568,"0.8599641809530261868067165500",141726.750730689,215,199,592,479,428,482,"St Lucie",0,0.0897703549060543,0.247181628392484,0.178705636743215,0.0830897703549061,0.2,0.20125260960334,0.250291036088475,0.246769487286369,0.339952343129468,0.261154855643045,0.393267651888342,0.367378048780488
"128","LEE MEMORIAL HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9836",100012,2409,"0.3742781279568205158481695500",10082,"0.3717399472219241764072340700",4.18513906185139,142653557,"0.3614145389311141237329748200",59216.9186384392,52,88,569,557,610,533,"Lee",0,0.0215857202158572,0.236197592361976,0.253217102532171,0.0365296803652968,0.231216272312163,0.221253632212536,0.0213377102995486,0.105175600739372,0.208761122518823,0.0415682569674067,0.22959604286892,0.164506172839506
"129","LEESBURG REGIONAL MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9899",100084,2003,"0.3111992902853928988143975100",7940,"0.2927608788873316763215074900",3.96405391912132,55369410,"0.1402790803599648039183615500",27643.2401397903,225,188,544,309,326,411,"Lake",0,0.112331502745881,0.271592611083375,0.162755866200699,0.0938592111832252,0.154268597104343,0.205192211682476,0.329428989751098,0.244055630327501,0.231698649609097,0.370808678500986,0.240466926070039,0.278266756939743
"130","LEHIGH REGIONAL MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9915",100107,390,"0.0605929721474304695644608200",1218,"0.0449096663079055392644327600",3.12307692307692,20526662,"0.0520045503143312500878821600",52632.4666666667,0,0,106,108,70,86,"Lee",0,0,0.271794871794872,0.179487179487179,0,0.276923076923077,0.220512820512821,0,0.0195933456561922,0.0239561943874059,0,0.044517724649629,0.0265432098765432
"132","LOWER KEYS MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9983",100195,810,"0.1258469421523555906338801700",2163,"0.0797533729261081128316650800",2.67037037037037,37946610,"0.0961382025486318894858467500",46847.6666666667,128,89,254,84,131,124,"Monroe",0,0.158024691358025,0.31358024691358,0.161728395061728,0.109876543209877,0.103703703703704,0.153086419753086,1,1,1,1,0.641221374045801,0.779874213836478
"133","MANATEE GLENS HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10095",110028,377,"0.0585732064091827872456454600",1738,"0.0640829228597207120210050400",4.61007957559682,2207727,"0.0055933034729079471256831600",5856.03978779841,40,52,98,122,0,37,"Manatee",0,0.106100795755968,0.259946949602122,0,0.137931034482759,0.323607427055703,0.0981432360742706,0.03613369467028,0.0447897623400366,0,0.0649188514357054,0.101160862354892,0.0248488918737408
"134","MANATEE MEMORIAL HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9856",100035,3127,"0.4858313433461925085335102400",11318,"0.4173133031797002408824712600",3.61944355612408,195893948,"0.4962997235029733309532052900",62645.9699392389,430,267,868,359,587,616,"Manatee",0,0.137511992324912,0.277582347297729,0.187719859290054,0.0853853533738407,0.114806523824752,0.196993923888711,0.38843721770551,0.396709323583181,0.390812250332889,0.333333333333333,0.297678275290216,0.413700470114171
"135","MANATEE PALMS YOUTH SERVICES","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10113",110049,696,"0.1081351502938759149150377800",3386,"0.1248473974700887979879879500",4.86494252873563,7449200,"0.0188726397015509072130018900",10702.8735632184,277,180,90,74,49,0,"Manatee",0,0.397988505747126,0.129310344827586,0.0704022988505747,0.258620689655172,0.10632183908046,0,0.250225835591689,0.0411334552102377,0.0326231691078562,0.224719101123595,0.0613598673300166,0
"136","MARINERS HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9958",100160,113,"0.0175564252632298540020104400",293,"0.0108033926340035492647609200",2.5929203539823,3853144,"0.0097619876537336450655553500",34098.6194690265,0,0,0,0,0,35,"Monroe",0,0,0,0,0,0,0.309734513274336,0,0,0,0,0,0.220125786163522
"137","MARTIN HOSPITAL SOUTH","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10150",120009,766,"0.1190108119613634350932743400",2774,"0.1022819493744909408206375000",3.62140992167102,41980480,"0.1063580617432964384413469200",54804.8041775457,0,0,120,155,241,225,"Martin",0,0,0.156657963446475,0.314621409921671,0,0.202349869451697,0.293733681462141,0,0.13745704467354,0.366261398176292,0,0.292452830188679,0.28957528957529
"138","MARTIN MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9862",100044,2475,"0.3845323232433087491590783000",10172,"0.3750583954712768024612561900",4.10989898989899,145317463,"0.3681635775039541160851950600",58714.1264646465,202,176,753,375,417,552,"Martin",0,0.0816161616161616,0.304242424242424,0.168484848484848,0.0711111111111111,0.151515151515152,0.223030303030303,1,0.862542955326461,0.633738601823708,1,0.707547169811321,0.71042471042471
"139","MAYO CLINIC","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9951",100151,5355,"0.8319881175627952936350966900",26577,"0.9799377680338304737527335700",4.96302521008403,399314532,"1.011668271764675426614304000",74568.5400560224,154,124,1230,1042,1257,1548,"Duval",0,0.0287581699346405,0.2296918767507,0.234733893557423,0.023155929038282,0.194584500466853,0.289075630252101,0.0320366132723112,0.0861344537815126,0.216761510605277,0.0331019754404698,0.179965457685665,0.248275862068966
"140","MEASE COUNTRYSIDE HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10069",110001,5396,"0.8383581479680379840252066800",17244,"0.6358146845759631519506391900",3.19570051890289,183692261,"0.4653865996101932224342916600",34042.3018902891,790,728,1803,601,698,776,"Pinellas",0,0.146404744255004,0.334136397331357,0.129355077835434,0.134914751667902,0.111378799110452,0.143810229799852,0.262023217247098,0.194918918918919,0.133155284242655,0.2782874617737,0.136096014492754,0.151031529778124
"141","MEASE DUNEDIN HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9861",100043,1235,"0.1918777451335298202874592700",4036,"0.1488139681598577639337033000",3.26801619433198,44209275,"0.1120047412529911914674171800",35796.983805668,195,119,257,187,248,229,"Pinellas",0,0.157894736842105,0.208097165991903,0.20080971659919,0.0963562753036437,0.151417004048583,0.185425101214575,0.0646766169154229,0.0277837837837838,0.0473101869515452,0.0454892966360856,0.0423460144927536,0.0445698715453484
"142","MEDICAL CENTER OF TRINITY","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9982",100191,2629,"0.4084587789117812935511987300",8958,"0.3302962157522313799103355300",3.40737923164701,232468322,"0.5889613492898727645095104900",88424.6184861164,265,237,798,488,404,437,"Pasco",0,0.100798782807151,0.303537466717383,0.153670597185242,0.0901483453784709,0.185621909471282,0.166222898440472,0.293791574279379,0.280788177339901,0.213983050847458,0.32027027027027,0.224884792626728,0.212859230394545
"143","MEDICAL CENTER OF TRINITY WEST PASCO CAMPUS","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=325102",23960110,370,"0.0574856402424340352278218100",1208,"0.0445409498357552474806525200",3.26486486486486,6631794,"0.0168017315600208206451354000",17923.7675675676,43,50,122,87,37,31,"Pasco",0,0.116216216216216,0.32972972972973,0.1,0.135135135135135,0.235135135135135,0.0837837837837838,0.0476718403547672,0.0429275158339198,0.0195974576271186,0.0675675675675676,0.0400921658986175,0.0150998538723819
"144","MEMORIAL HOSPITAL JACKSONVILLE","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9974",100179,3437,"0.533994987873637240751415000",15048,"0.5548445472917590762324993300",4.37823683444865,375836861,"0.9521873039004013583521570200",109350.265056736,276,221,1188,677,527,548,"Duval",0,0.0803025894675589,0.345650276403841,0.153331393657259,0.06430026185627,0.196974105324411,0.15944137329066,0.0574162679425837,0.0831932773109244,0.0908777375409553,0.0589962626801922,0.11692573402418,0.0878909382518043
"145","MEMORIAL HOSPITAL MIRAMAR","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=165513",23960050,5683,"0.8829483608047368167559765600",17822,"0.6571264966662500170531368400",3.13601970790076,193126285,"0.4892878152961439414201200700",33983.1576632061,1148,948,2645,397,275,270,"Broward",0,0.202005982755587,0.465423191976069,0.0483899348935421,0.166813302833011,0.0698574696463136,0.0475101178954777,0.133147761540246,0.12413178149052,0.0322467166979362,0.120091208512795,0.0425874275906458,0.0276526013928718
"146","MEMORIAL HOSPITAL OF TAMPA","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9990",100206,1326,"0.2060161053012635965191668000",4208,"0.1551558914808427826147233600",3.17345399698341,118382358,"0.2999231581316131467693674200",89277.7963800905,63,49,485,276,252,201,"Hillsborough",0,0.0475113122171946,0.365761689291101,0.190045248868778,0.0369532428355958,0.208144796380091,0.15158371040724,0.00867052023121387,0.0280703785160319,0.0367722165474974,0.00753962148022773,0.035890767230169,0.0269653877112959
"147","MEMORIAL HOSPITAL PEMBROKE","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10012",100230,1564,"0.2429933549707211651251711000",6557,"0.2417673907889463226247008300",4.19245524296675,91393514,"0.2315465903426742012678125300",58435.7506393862,48,44,478,403,272,319,"Broward",0,0.030690537084399,0.305626598465473,0.173913043478261,0.0281329923273657,0.2576726342711,0.203964194373402,0.00556715379262352,0.0224328890557537,0.0318949343339587,0.00557385355966557,0.0432310662947865,0.032671036460467
"148","MEMORIAL HOSPITAL WEST","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10140",111527,8482,"1.3178194609089878021686069400",33329,"1.2288951300297074861611490100",3.9293798632398,479234095,"1.2141454663096465546168625100",56500.1290969111,1281,1117,3464,803,927,890,"Broward",0,0.151025701485499,0.408394246639943,0.109290261730724,0.131690639000236,0.0946710681443056,0.104928082999293,0.14857341684064,0.162568049558851,0.108700750469043,0.14149987332151,0.0861403132375027,0.091151167554281
"149","MEMORIAL REGIONAL HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9857",100038,11590,"1.8006988389454336980823101100",57690,"2.1271253278350333006281822500",4.97756686798965,809527447,"2.0509477307291182753416882200",69847.0618636756,2352,2162,3650,1210,1060,1156,"Broward",0,0.202933563416739,0.314926660914582,0.091458153580673,0.186540120793788,0.104400345125108,0.0997411561691113,0.272790535838553,0.171297165383893,0.124296435272045,0.273878895363567,0.129800472001716,0.11839410077837
"150","MEMORIAL REGIONAL HOSPITAL SOUTH","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10007",100225,717,"0.1113978487941221709685087400",7104,"0.2619361818155672831974797500",9.90794979079498,47845492,"0.1212171416876223377882758100",66730.1143654114,0,0,136,159,193,200,"Broward",0,0,0.189679218967922,0.269177126917713,0,0.221757322175732,0.278940027894003,0,0.00638257931293411,0.0226313320825516,0,0.0170564256597297,0.0204834084391643
"151","MERCY HOSPITAL, A CAMPUS OF PLANTATION GENERAL HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9878",100061,4461,"0.6930903814094546787873326500",16751,"0.6176369624989537670102735500",3.7549876709258,278119599,"0.7046194203225605423624406300",62344.6758574311,701,673,1754,536,349,448,"Miami-Dade",0,0.157139654785922,0.39318538444295,0.0782335799148173,0.150863035193903,0.120152432190092,0.100425913472316,0.088756647252469,0.0758880283822957,0.0338309422256689,0.0873458792991564,0.0478059222261862,0.0365893498856583
"152","MORTON PLANT HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9931",100127,6643,"1.0321002922445656649146493600",22742,"0.8385350009641935746730130100",3.4234532590697,308077255,"0.7805175097806237900635399900",46376.2238446485,682,593,2100,789,1258,1221,"Pinellas",0,0.102664458828842,0.316122233930453,0.189372271564052,0.0892668974860756,0.118771639319585,0.183802498870992,0.22620232172471,0.227027027027027,0.23998473864937,0.226681957186544,0.17866847826087,0.237641105488517
"153","MORTON PLANT NORTH BAY HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9880",100063,1069,"0.1660868903220594152933554400",4438,"0.1636363703402994936416688000",4.15154349859682,49609684,"0.1256867437899096301281136700",46407.5622076707,0,0,255,230,283,259,"Pasco",0,0,0.238540692235734,0.264733395696913,0,0.215154349859682,0.242282507015903,0,0.08972554539057,0.14989406779661,0,0.105990783410138,0.126156843643449
"154","MORTON PLANT NORTH BAY HOSPITAL RECOVERY CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=302496",23960102,694,"0.1078244171033762714813738800",3002,"0.1106886849395175934908268900",4.32564841498559,7777736,"0.0197049896930921101411191100",11207.1123919308,289,186,113,81,0,0,"Pasco",0,0.4164265129683,0.162824207492795,0,0.268011527377522,0.11671469740634,0,0.32039911308204,0.0397607318789585,0,0.251351351351351,0.0373271889400922,0
"155","MOUNT SINAI MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9855",100034,6564,"1.0198263312198297492849252500",25531,"0.9413700250469099531693208700",3.88954905545399,285605007,"0.7235837934368690282749496300",43510.8176416819,742,707,2157,890,847,1221,"Miami-Dade",0,0.113040828762949,0.328610603290676,0.12903717245582,0.107708714198659,0.135588056063376,0.186014625228519,0.0939478348949101,0.0933241033184788,0.0821054672353626,0.0917585983127839,0.0793792365322868,0.0997223129696178
"156","NAPLES COMMUNITY HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9841",100018,2392,"0.3716368958375735466620263800",9803,"0.3614527576489310356397654800",4.09824414715719,119156440,"0.3018843043869769347408616700",49814.5652173913,36,52,434,469,601,800,"Collier",0,0.0150501672240803,0.181438127090301,0.251254180602007,0.0217391304347826,0.196070234113712,0.334448160535117,0.0521739130434783,0.170062695924765,0.385750962772786,0.0936936936936937,0.384111384111384,0.416666666666667
"157","NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10147",120006,3937,"0.6116782854985480991673904200",12796,"0.4718095977635133665251901600",3.250190500381,81830258,"0.2073179637973143072241321900",20784.9271018542,654,503,1694,302,371,413,"Collier",0,0.166116332232664,0.430276860553721,0.0942341884683769,0.127762255524511,0.0767081534163068,0.10490220980442,0.947826086956522,0.663793103448276,0.238125802310655,0.906306306306306,0.247338247338247,0.215104166666667
"159","NORTH FLORIDA REGIONAL MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9989",100204,7080,"1.0999954943687377551702118700",22469,"0.8284690412744906089758125700",3.17358757062147,560190524,"1.4192495736018641363269757100",79122.9553672316,1191,829,2405,721,965,969,"Alachua",0,0.168220338983051,0.339689265536723,0.136299435028249,0.117090395480226,0.10183615819209,0.136864406779661,0.349062133645955,0.427479559189477,0.382026920031671,0.300036192544336,0.268029739776952,0.363465866466617
"160","NORTH OKALOOSA MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9927",100122,762,"0.1183893455803641482259465300",2416,"0.0890818996715104949613050500",3.17060367454068,66266207,"0.1678862494092507434911904900",86963.5262467192,100,44,249,128,129,112,"Okaloosa",0,0.131233595800525,0.326771653543307,0.169291338582677,0.057742782152231,0.167979002624672,0.146981627296588,0.288184438040346,0.266025641025641,0.224347826086957,0.159420289855072,0.198142414860681,0.199643493761141
"161","NORTH SHORE MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9852",100029,1591,"0.2471882530424663514796337700",5235,"0.1930230731706777488089536200",3.29038340666248,95043747,"0.2407945004854695716013835800",59738.3702074167,210,172,617,230,159,203,"Miami-Dade",0,0.131992457573853,0.387806411062225,0.0999371464487744,0.108108108108108,0.144563167818982,0.127592708988058,0.026589009875918,0.0266949335871587,0.015412950756107,0.0223231667748215,0.0205137352836247,0.0165795491669389
"163","NORTHSIDE HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10019",100238,1249,"0.1940528774670273243231065900",5042,"0.1859068452581771173819950600",4.03682946357086,172116765,"0.4360599383076716469308182000",137803.654923939,0,0,258,275,294,394,"Pinellas",0,0,0.206565252201761,0.235388310648519,0,0.22017614091273,0.315452361889512,0,0.0278918918918919,0.0560854635635254,0,0.0622735507246377,0.076683534449202
"164","NORTHWEST FLORIDA COMMUNITY HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9948",100147,79,"0.0122739610247359156297241200",301,"0.0110983658117237826917851100",3.81012658227848,1674398,"0.0042421079003110986328244600",21194.9113924051,0,0,0,0,0,0,"Washington",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"165","NORTHWEST MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9981",100189,3676,"0.5711276041383446310742512500",12618,"0.4652464445592381727739019500",3.43253536452666,295933947,"0.7497522898014366633966625300",80504.3381392818,447,373,1375,496,439,546,"Broward",0,0.121599564744287,0.3740478781284,0.119423286180631,0.101468988030468,0.134929270946681,0.148531011969532,0.0518441196938065,0.0645297540829735,0.0514774859287054,0.0472510767671649,0.053207466208968,0.0559197050389185
