"","Hospital.Name","Profile.Page","File.Number","Discharges","X..of.Discharges","LOS","X..of.LOS","Avg..LOS","Charges","X..of.Charges","Avg.Charges","Discharges_0_24_female","Discharges_0_24_male","Discharges_25_54_female","Discharges_25_54_male","Discharges_55_female","Discharges_55_male","county","drop","Discharges_0_24_female_fw","Discharges_25_54_female_fw","Discharges_55_female_fw","Discharges_0_24_male_fw","Discharges_25_54_male_fw","Discharges_55_male_fw","Discharges_0_24_female_cw","Discharges_25_54_female_cw","Discharges_55_female_cw","Discharges_0_24_male_cw","Discharges_25_54_male_cw","Discharges_55_male_cw"
"64","FLORIDA HOSPITAL WATERMAN","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9875",100057,2524,"0.3921452864105500132838438900",8650,"0.3189397484100023929699042600",3.42709984152139,108735268,"0.2754821371174861611245359800",43080.5340729002,220,139,682,425,555,503,"Lake",0,0.0871632329635499,0.270206022187005,0.219889064976228,0.0550713153724247,0.16838351822504,0.199286846275753,0.322108345534407,0.305966801256169,0.394456289978678,0.274161735700197,0.330739299610895,0.340555179417739
"65","FLORIDA HOSPITAL WESLEY CHAPEL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=286617",23960099,2694,"0.4185576076030197051452755300",6589,"0.2429472834998272563327975900",2.44580549368968,139323382,"0.3529774996627212369225712100",51716.1774313289,218,167,864,577,416,452,"Pasco",0,0.080920564216778,0.320712694877506,0.15441722345954,0.0619896065330364,0.214179658500371,0.167780252412769,0.241685144124169,0.304011259676284,0.220338983050847,0.225675675675676,0.265898617511521,0.220165611300536
"66","FLORIDA HOSPITAL ZEPHYRHILLS","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9864",100046,1087,"0.1688834890365562061963305500",3533,"0.1302675296106980872095574300",3.25022999080037,60349104,"0.1528951962765699216951888900",55518.9549218031,87,41,255,212,232,260,"Pasco",0,0.0800367985280589,0.234590616375345,0.21343146274149,0.0377184912603496,0.195032198712052,0.239190432382705,0.0964523281596452,0.08972554539057,0.122881355932203,0.0554054054054054,0.0976958525345622,0.126643935703848
"67","FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9994",100210,1397,"0.2170471335640009384142353100",4963,"0.1829939851281898122901311900",3.55261274158912,139690115,"0.3539066222229517138670680400",99992.924123121,57,76,334,286,270,374,"Broward",0,0.0408017179670723,0.239083750894775,0.1932712956335,0.0544022906227631,0.204724409448819,0.267716535433071,0.00661099512874043,0.0156748639008823,0.0316604127579737,0.00962756523942235,0.0306801115640421,0.0383039737812372
"68","FORT LAUDERDALE HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10066",104026,1389,"0.2158042008020023646795797000",7466,"0.2752837181074078457703243000",5.37508999280058,16416880,"0.0415923671352087549813384600",11819.2080633549,307,301,237,376,65,103,"Broward",0,0.221022318214543,0.170626349892009,0.046796256299496,0.216702663786897,0.270698344132469,0.074154067674586,0.0356065877986546,0.0111225830673925,0.00762195121951219,0.0381302254877122,0.0403346921261532,0.0105489553461696
"69","FORT WALTON BEACH MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10005",100223,2305,"0.3581200020508390572976466600",8949,"0.3299643709272961173049333200",3.8824295010846,249355647,"0.6317455946112486403284987200",108180.324078091,247,232,620,468,365,373,"Okaloosa",0,0.107158351409978,0.268980477223427,0.158351409978308,0.100650759219089,0.203036876355748,0.161822125813449,0.711815561959654,0.662393162393162,0.634782608695652,0.840579710144927,0.724458204334365,0.664884135472371
"70","GOOD SAMARITAN MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10124",110403,2408,"0.3741227613615706941313376000",9459,"0.3487689110069609982777253600",3.9281561461794,219911909,"0.5571495227188490396140679400",91325.5436046512,200,170,849,349,417,423,"Palm Beach",0,0.0830564784053156,0.352574750830565,0.173172757475083,0.0705980066445183,0.144933554817276,0.175664451827243,0.0291375291375291,0.0534904233870968,0.0604961555200928,0.0261096605744125,0.0522924782738987,0.0533417402269861
"71","GULF BREEZE HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10071",110003,724,"0.1124854149608709229863324000",2265,"0.0835142809420410890262234800",3.12845303867403,32645334,"0.0827073546849043768420039400",45090.2403314917,0,0,162,150,190,189,"Santa Rosa",0,0,0.223756906077348,0.262430939226519,0,0.207182320441989,0.261049723756906,0,0.36734693877551,0.605095541401274,0,0.551470588235294,0.679856115107914
"72","GULF COAST MEDICAL CENTER LEE MEMORIAL HEALTH SYSTEM","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10002",100220,3973,"0.6172714829275416809733406500",15131,"0.5579048940106064980378752900",3.80845708532595,239409755,"0.6065475550598152574628839200",60259.1882708281,168,100,953,772,931,1049,"Lee",0,0.0422854266297508,0.239869116536622,0.234331739239869,0.0251698968034231,0.194311603322426,0.264032217467908,0.0689372178908494,0.176155268022181,0.318617385352498,0.0472366556447803,0.318219291014015,0.323765432098765
"73","GULF COAST REGIONAL MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10023",100242,2776,"0.4312976684135050859254955000",8419,"0.3104223979033306527645808000",3.03278097982709,176425822,"0.4469769871470699511222127500",63553.9704610951,546,400,916,324,294,296,"Bay",0,0.196685878962536,0.329971181556196,0.105907780979827,0.144092219020173,0.11671469740634,0.106628242074928,0.919191919191919,0.706245181187355,0.40495867768595,0.869565217391304,0.464183381088825,0.376111817026684
